trial_index,arm_name,trial_status,generation_method,val_accuracy,val_f1,val_loss,val_precision,val_recall,lr,dropout_rate,batch_size,embedding_dim
0,0_0,COMPLETED,Sobol,0.927478110722308,0.7751209767590074,0.4865289553999901,0.7887870789759034,0.7661607477317401,0.0001501823322047661,0.014037029445171358,128,5
1,1_0,COMPLETED,Sobol,0.9323798733911094,0.8087196648258024,0.17011132350434427,0.8107013082814252,0.8078423102623477,0.0004293078496236867,0.16632957961410286,64,4
2,2_0,COMPLETED,Sobol,0.924233221986031,0.7795959326398859,0.22231634414714316,0.8044588771559025,0.7651107715920201,0.00012582482781618446,0.10083135254681111,64,7
3,3_0,COMPLETED,Sobol,0.9355409243049693,0.815044089154108,0.16291748764722244,0.824792242969297,0.8153993942140915,0.0014707497414710518,0.1949571890756488,64,10
4,4_0,COMPLETED,Sobol,0.8698432223461638,0.657011314932162,0.7795361479123434,0.6223416131665075,0.7187490936074875,1.2337235662266024e-05,0.15511216782033443,128,9
5,5_0,COMPLETED,Sobol,0.9244651491842503,0.784389562720122,0.2039393309665763,0.8010918970190538,0.7710878141569139,0.00015848904027914202,0.1825993686914444,64,4
6,6_0,COMPLETED,Sobol,0.8818414498112862,0.6709154439266435,0.6548852175474167,0.641811675822615,0.7124301012929131,1.2293648611624907e-05,0.14261067267507316,128,9
7,7_0,COMPLETED,Sobol,0.9049448880909555,0.7397502715920906,0.4795917130034903,0.7244321984664418,0.7635492078076679,1.4321546117323642e-05,0.05164002478122712,64,2
8,8_0,COMPLETED,BoTorch,0.9357044413224188,0.8144989432040228,0.1621572708953982,0.8251085263515225,0.8061462007380581,0.0010683100009095904,0.1748906408059711,64,7
9,9_0,COMPLETED,BoTorch,0.9278784808583737,0.8181591134973628,0.18284170809719297,0.8236303868841427,0.8130875775472691,0.0005442292101448706,0.1814477075591808,32,7
